Row Labels,Max of Concrete_compressive_strength,Average of Concrete_compressive_strength,StdDev of Concrete_compressive_strength
1,12.64,9.455,4.504270196
3,41.64,18.98119403,9.863046781
7,59.09,26.05087302,14.58344678
14,59.76,28.75096774,8.638029092
28,81.75,36.74861176,14.71107687
56,80.2,51.89021978,14.30854484
90,69.66,40.48037037,9.819174342
91,82.6,69.80863636,7.697465443
100,66.95,47.66884615,8.401672722
120,40.86,39.64666667,1.104415381
180,71.62,41.73038462,10.92909712
270,74.17,51.27230769,10.64483298
360,44.7,40.69666667,4.1714394
365,56.14,43.55785714,9.620080904
Grand Total,82.6,35.81796117,16.70574196
